curso_academico,des_provincia_centro_sec,nota_media,nota_minima,percentil_25,percentil_50,percentil_75
2018-19,Baleares,9.655548387096774,5.002,8.628,9.572,10.945
2018-19,Jaén,10.961038759689922,6.25,10.145,11.242,12.355
2018-19,La Rioja,10.501587155963303,5.78,9.13,10.69,12.383
2018-19,Las Palmas,11.134547692307693,6.0,10.012,11.305,12.653
2018-19,León,10.24801052631579,5.002,8.622,10.145,12.0555
2018-19,Lérida,10.3574,6.38,8.82,9.733,13.016
2018-19,Lugo,10.47511111111111,5.304,8.6095,10.951,12.442
2018-19,Madrid,9.490063789494668,5.0,8.061,9.508,10.943
2018-19,Melilla,10.190230769230768,6.241,9.254,10.822,11.605
2018-19,Murcia,10.85079802955665,5.35,9.396,11.243,12.475
2018-19,Málaga,10.63962385321101,5.062,9.440249999999999,11.056000000000001,11.98275
2018-19,Navarra,10.29292561983471,5.594,9.16,10.222,11.857
2018-19,Orense,10.091565217391304,5.318,8.523,10.78,12.134500000000001
2018-19,Palencia,8.546990415335463,5.031,7.054,8.32,9.897
2018-19,Pontevedra,10.214992805755395,5.094,9.123,10.33,11.75
2018-19,Salamanca,10.66871875,7.905,8.8225,10.9555,12.1945
2018-19,Santa Cruz de Tenerife,11.14121212121212,5.44,9.868,11.492,12.721
2018-19,Segovia,8.750910843373495,5.058,7.0504999999999995,8.566,10.269
2018-19,Sevilla,10.21770297029703,5.522,9.095,10.42,11.975
2018-19,Soria,9.275486842105265,5.057,7.4479999999999995,9.269,10.860249999999999
2018-19,Tarragona,10.411,5.765,9.74,10.246,12.034
2018-19,Teruel,10.867304347826087,7.12,9.545,11.229,12.374500000000001
2018-19,Toledo,9.922935272045029,5.0,8.59925,10.0275,11.381
2018-19,Valencia,9.936777777777777,5.57,8.608,10.106,11.359
2018-19,Valladolid,8.902513048635825,5.024,6.9785,8.679,10.779499999999999
2018-19,Bizkaia,9.32348,5.182,7.352,9.425,11.111
2018-19,Zamora,10.332804347826087,5.314,9.017,10.58,11.827
2018-19,Zaragoza,10.568566666666667,5.418,9.40625,10.975999999999999,11.971
2018-19,Álava,10.177017857142857,5.508,9.3165,10.23,11.546
2018-19,Ávila,9.994763358778627,5.5,8.439,10.094,11.6115
2019-20,La Coruña,10.05624778761062,5.032,8.222,10.31,11.86
2019-20,Albacete,10.700052631578947,5.46,9.68075,10.7645,12.23725
2019-20,Alicante,10.220638418079096,6.068,8.83,10.653,11.75
2019-20,Almería,10.966882352941177,6.915,9.7615,11.188,12.31
2019-20,Asturias,8.978156862745099,5.51,7.2490000000000006,9.4,10.669
2019-20,Badajoz,11.17093925233645,5.48,9.91175,11.49,12.902
2019-20,Barcelona,8.785101694915255,5.0,7.3655,8.886,10.111
2019-20,Burgos,9.3716,5.065,7.3795,9.44,11.075
2019-20,Cantabria,9.924005555555555,5.273,8.772,10.262,11.273
2019-20,Castellón,10.999642857142858,5.938,10.1725,11.297,11.928
2019-20,Ceuta,11.9232,8.301,11.88,12.131499999999999,12.6265
2019-20,Ciudad Real,10.671170124481328,5.018,9.417,11.057,12.174
2019-20,Cuenca,10.168578125,5.281,8.893,10.343,11.6665
2019-20,Cáceres,10.498122137404579,5.156,9.24,10.89,12.2065
2019-20,Cádiz,10.560067484662577,5.117,9.174,10.837,12.0395
2019-20,Córdoba,10.638905882352942,5.364,9.25,11.015,12.486
2019-20,Gerona,8.0405,5.13,7.2575,7.888,9.4255
2019-20,Granada,10.628783783783783,5.764,9.5,11.0175,11.93
2019-20,Guadalajara,9.598897689768977,5.128,8.184000000000001,9.624,10.972999999999999
2019-20,Gipuzkoa,10.299061728395062,5.058,9.286,10.33,11.956
2019-20,Huelva,11.278684210526315,5.48,9.967,11.738,12.85
2019-20,Huesca,10.372978723404255,5.98,9.0825,10.738,11.614
2019-20,Baleares,9.703671717171718,5.258,8.5175,9.806,10.9495
2019-20,Jaén,10.825770642201835,5.516,9.819,11.114,12.412
2019-20,La Rioja,9.36986956521739,5.264,7.54,9.777,10.8295
2019-20,Las Palmas,10.730944444444445,5.57,9.3635,11.058499999999999,12.348500000000001
2019-20,León,10.148178743961351,5.196,8.1065,10.649,12.097999999999999
2019-20,Lérida,9.814533333333333,6.82,8.987,9.76,10.763
2019-20,Lugo,10.105634146341464,5.495,8.902,10.344,11.912
2019-20,Madrid,9.56658699051901,5.0,8.0725,9.560500000000001,11.077
2019-20,Melilla,10.167625,5.0,8.695500000000001,10.905,12.09675
2019-20,Murcia,10.977660098522168,5.722,9.568,11.432,12.4075
2019-20,Málaga,10.86854255319149,5.309,9.783000000000001,11.3995,12.353
2019-20,Navarra,9.022132075471697,5.243,7.239,9.156500000000001,10.53725
2019-20,Orense,9.724891304347825,5.15,7.376,9.76,11.9765
2019-20,Palencia,8.546832352941175,5.011,6.8565000000000005,8.131499999999999,10.16975
2019-20,Pontevedra,10.058178807947021,5.21,8.801,10.31,11.489
2019-20,Salamanca,9.795444444444446,5.585,8.2,10.049,11.727
2019-20,Santa Cruz de Tenerife,10.925461224489796,5.35,9.641,11.227,12.576
2019-20,Segovia,9.173657894736841,5.001,7.37275,9.051,10.98575
2019-20,Sevilla,10.556035294117647,5.0,8.836,11.028,12.306
2019-20,Soria,9.181991031390135,5.0,7.3345,9.18,10.905
2019-20,Tarragona,9.08175,6.21,7.477,8.887,10.834999999999999
