periodo,Densa,Moderadamente densa,Muy densa,Muy poco densa,Poco densa
2002,0.0497339070373096,0.0503236467409761,0.0409449325782177,0.0385841344154378,0.0518179846207396
2003,0.0494867222516747,0.0517925452175571,0.0406004516522606,0.0384948557925442,0.0517833265756817
2004,0.0524470424222569,0.0525116329358643,0.0434044550527151,0.0388829416916823,0.052473314008775
2005,0.0524810595977435,0.0537833121079194,0.0431882512760704,0.0389099692119603,0.0525690953609506
2006,0.0530422214255867,0.0541129566882734,0.0435755953020614,0.0401272851105287,0.0526709014855727
2007,0.0543822429959555,0.0557422421616687,0.0449185007703982,0.0408723060895749,0.0538347591008406
2008,0.0554120174833834,0.0562434168404964,0.0454807282787947,0.040747452678767,0.0542898795146283
2009,0.055746023492188,0.0566103672140169,0.0461684502475859,0.0410626193271431,0.0544979804825686
2010,0.0559498400023679,0.0568122945082338,0.0463190727230876,0.0412351567279823,0.0545685880491444
2011,0.0548870700220003,0.0577821289899561,0.0464481521206875,0.0404991728899703,0.0547801177419367
2012,0.0548239646852702,0.0576924276461001,0.0464632989561045,0.0403556904636818,0.054710399270918
2013,0.0539112019834246,0.0566722876036268,0.0461615376791074,0.0401800533274046,0.0539534410804372
2014,0.0534516469084762,0.0569113904133898,0.046128865239213,0.0398081683648526,0.0537014506823648
2015,0.053136082324007,0.0564002805101846,0.0462315611410477,0.0394142361704228,0.0529437589430063
2016,0.0523272133814892,0.0557135100042395,0.0458115178346848,0.038928707996372,0.0520861270266975
2017,0.0511435598181466,0.0546951830288478,0.0452608252841353,0.0385433110455975,0.0510589170943446
2018,0.0497441310738269,0.0528984836774902,0.0443130491182988,0.037769400098584,0.0496053840953458
2019,0.0482666772912083,0.0515840336725931,0.0434243133142566,0.0370130091295836,0.0482522195560427
2020,0.0455654890785123,0.0491079938893555,0.0410101746844212,0.0369502842454464,0.0464909152967994
2021,0.044191781219327,0.0475479805438012,0.0401010409372511,0.0360950951741568,0.0451424148818443
2022,0.04171364663308809,0.04598796463455029,0.040272542362724005,0.03523990635249493,0.04379390801768055
2023,0.040089700465046826,0.0444279498658088,0.03968263958631355,0.034384718203187475,0.042445401013573365
2024,0.03776216032376013,0.04286793498500016,0.03909275339156235,0.03352952970310487,0.041096894098553896
2025,0.035985961152189695,0.04130792010419244,0.038502873621641384,0.03267434120302232,0.03974838718353165
2026,0.03375795316636091,0.03974790522338452,0.037912987947151006,0.03181915270294015,0.03839988026850937
2027,0.031888104004374335,0.038187890342576615,0.0373231022728223,0.030963964202857817,0.03705137335348711
2028,0.029724984628894273,0.03662787546176871,0.03673321659852824,0.030108775702775495,0.035702866438464854
2029,0.027797061250599248,0.03506786058096081,0.03614333092418839,0.02925358720269317,0.034354359523442596
