periodo,Muy poco densa,Poco densa,Moderadamente densa,Densa,Muy densa
2022,3.566376758741066,4.381550788762876,4.595746909557743,4.28206736356915,3.925090656816063
2023,3.5291684465977986,4.255680913480979,4.444246438663395,4.155561541583026,3.848820381659407
2024,3.497070835985995,4.136281245135375,4.299938186705572,4.038840409066563,3.780394082362423
2025,3.4693819528402066,4.0230191896267655,4.162480715714308,3.9311471617358595,3.7190050494021576
2026,3.445496241871453,3.9155792495014397,4.031548796887957,3.8317835309126553,3.663929538867239
2027,3.424891323085857,3.813662145116414,3.90683264109138,3.7401052560431856,3.6145182399037044
2028,3.4071165673452217,3.7169839809801344,3.7880371658848726,3.655517907398522,3.570188619686823
2029,3.3917832411173063,3.625275454946553,3.6748812973496174,3.577473031871347,3.530418055670217
